Bottle,Date,Scan,TimeS,PrDM,DepSM,T090C,T190C,C0mS/cm,C1mS/cm,Sbeox0V,Latitude,Longitude,Statistic
1,2022-07-05 22:11:35,69522,2896.708,2627.1079999999997,2586.218,1.9507,1.9484,31.752415999999997,31.750827,1.8431,59.77488,-39.90654,avg
2,2022-07-05 22:18:29,79462,3310.875,2321.22,2286.718,2.8914,2.8916,32.498247,32.498882,1.8597,59.77488,-39.90654,avg
3,2022-07-05 22:24:56,88755,3698.083,2016.118,1987.567,3.148,3.1481,32.606327,32.607094000000004,1.9209,59.77488,-39.90656,avg
4,2022-07-05 22:31:08,97679,4069.917,1711.253,1688.229,3.3761,3.3761,32.681733,32.682584999999996,1.9918,59.77488,-39.90653,avg
5,2022-07-05 22:35:34,104051,4335.417,1519.5020000000002,1499.736,3.4723,3.4721,32.679010999999996,32.679793,2.0524,59.77488,-39.90654,avg
6,2022-07-05 22:45:04,117726,4905.208,1013.507,1001.525,3.4031,3.4027,32.366724,32.36772,2.2346,59.77488,-39.90654,avg
7,2022-07-05 22:50:28,125516,5229.792,760.836,752.296,3.5364,3.5362,32.381084,32.382191999999996,2.2804,59.77488,-39.90654,avg
8,2022-07-05 22:55:49,133221,5550.8330000000005,508.67400000000004,503.26800000000003,3.6041,3.6035,32.324098,32.324996999999996,2.4016,59.77488,-39.90654,avg
9,2022-07-05 22:59:51,139024,5792.625,357.469,353.79900000000004,3.6926,3.692,32.336333,32.337334000000006,2.4445,59.77488,-39.90656,avg
10,2022-07-05 23:02:49,143304,5970.9580000000005,256.30400000000003,253.735,3.8184,3.8179,32.406054,32.407196,2.4632,59.77489,-39.90654,avg
11,2022-07-05 23:05:17,146839,6118.25,185.41,183.583,3.9135,3.9129,32.455453999999996,32.456491,2.5061,59.77488,-39.90654,avg
12,2022-07-05 23:07:23,149861,6244.1669999999995,135.505,134.185,4.0811,4.0805,32.587202000000005,32.587938,2.5162,59.77488,-39.90656,avg
13,2022-07-05 23:09:34,153005,6375.1669999999995,95.37,94.45,4.2242,4.2222,32.695034,32.694903000000004,2.5481,59.77488,-39.90654,avg
14,2022-07-05 23:12:28,157183,6549.25,44.347,43.925,5.9328,5.9043,34.166348,34.141327000000004,2.6934,59.77488,-39.90654,avg
15,2022-07-05 23:14:10,159640,6651.625,34.898,34.566,6.3947,6.4062,34.573687,34.583925,2.7633,59.77486,-39.90654,avg
16,2022-07-05 23:16:31,163031,6792.9169999999995,3.364,3.332,7.6998,7.6974,35.68693,35.687191,2.843,59.7749,-39.90654,avg
